league_id,id,submitDate,player,driver,finishPos,course
11001,11001_4001_14,2010-09-09T09:52:46,Tom,Diddy Kong,1,DK Mountain
11001,11001_4001_9,2010-09-09T09:50:39,Tom,Diddy Kong,1,Mario Circuit
11001,11001_4001_10,2010-09-09T09:51:14,Tom,Diddy Kong,1,Daisy Cruiser
11001,11001_4001_15,2010-09-09T09:53:32,Tom,Diddy Kong,1,Mushroom Bridge
11001,11001_4001_1,2010-09-09T09:45:09,Tom,Diddy Kong,1,Luigi Circuit
11001,11001_4001_13,2010-09-09T09:52:29,Nick,Paratroopa,1,Peach Beach
11001,11001_4001_16,2010-09-09T09:53:48,Tom,Diddy Kong,1,Rainbow Road
11001,11001_4001_3,2010-09-09T09:47:38,Tom,Diddy Kong,1,Mushroom City
11001,11001_4001_4,2010-09-09T09:48:14,Tom,Diddy Kong,1,Yoshi Circuit
11001,11001_4001_5,2010-09-09T09:48:48,Nick,Paratroopa,1,Dry Dry Desert
11001,11001_4001_6,2010-09-09T09:49:15,Tom,Diddy Kong,1,Wario Colosseum
11001,11001_4001_7,2010-09-09T09:49:35,Tom,Diddy Kong,1,Sherbet Land
11001,11001_4001_12,2010-09-09T09:52:06,Tom,Diddy Kong,1,Waluigi Stadium
11001,11001_4001_11,2010-09-09T09:51:42,Tom,Diddy Kong,1,Dino Dino Jungle
11001,11001_37001_6,2010-09-09T09:58:16,Tom,Waluigi,1,Wario Colosseum
11001,11001_37001_7,2010-09-09T09:58:31,Nick,Paratroopa,1,Dino Dino Jungle
11001,11001_37001_1,2010-09-09T09:56:18,Tom,Waluigi,1,Luigi Circuit
11001,11001_37001_16,2010-09-09T10:03:22,Tom,Waluigi,1,Rainbow Road
11001,11001_37001_2,2010-09-09T09:56:47,Nick,Paratroopa,1,Bowser Castle
11001,11001_37001_3,2010-09-09T09:57:19,Tom,Waluigi,1,Mushroom City
11001,11001_37001_9,2010-09-09T09:59:17,Tom,Waluigi,1,Daisy Cruiser
11001,11001_37001_5,2010-09-09T09:57:56,Nick,Paratroopa,1,Waluigi Stadium
11001,11001_37001_4,2010-09-09T09:57:40,Nick,Paratroopa,1,Sherbet Land
11001,11001_37001_14,2010-09-09T10:02:42,Nick,Paratroopa,1,Peach Beach
11001,11001_37001_13,2010-09-09T10:00:33,Nick,Paratroopa,1,Baby Park
11001,11001_37001_12,2010-09-09T10:00:16,Nick,Paratroopa,1,Mario Circuit
11001,11001_37001_8,2010-09-09T09:58:59,Tom,Waluigi,1,Dry Dry Desert
11001,11001_37001_10,2010-09-09T09:59:34,Tom,Waluigi,1,Yoshi Circuit
11001,11001_37001_11,2010-09-09T09:59:54,Tom,Waluigi,1,DK Mountain
11001,11001_37001_15,2010-09-09T10:03:04,Nick,Paratroopa,1,Mushroom Bridge
11001,11001_54001_14,2010-09-09T10:44:24,Tom,Waluigi,1,Baby Park
11001,11001_54001_9,2010-09-09T10:42:03,Tom,Waluigi,1,DK Mountain
11001,11001_54001_2,2010-09-09T10:05:59,Nick,Paratroopa,1,Daisy Cruiser
11001,11001_54001_3,2010-09-09T10:06:22,Tom,Waluigi,1,Sherbet Land
11001,11001_54001_5,2010-09-09T10:40:08,Tom,Waluigi,1,Mushroom Bridge
11001,11001_54001_11,2010-09-09T10:43:17,Nick,Paratroopa,1,Peach Beach
11001,11001_54001_1,2010-09-09T10:05:23,Nick,Paratroopa,1,Luigi Circuit
11001,11001_54001_7,2010-09-09T10:40:47,Nick,Paratroopa,1,Bowser Castle
11001,11001_54001_15,2010-09-09T10:44:59,Nick,Paratroopa,1,Mushroom City
11001,11001_54001_6,2010-09-09T10:40:26,Tom,Waluigi,1,Dry Dry Desert
11001,11001_54001_13,2010-09-09T10:43:52,Nick,Paratroopa,1,Dino Dino Jungle
11001,11001_54001_4,2010-09-09T10:39:40,Tom,Waluigi,1,Yoshi Circuit
11001,11001_54001_10,2010-09-09T10:42:51,Nick,Paratroopa,1,Wario Colosseum
11001,11001_54001_12,2010-09-09T10:43:39,Nick,Paratroopa,1,Waluigi Stadium
11001,11001_54001_16,2010-09-12T01:38:25,Nick,Paratroopa,1,Rainbow Road
11001,11001_67002_2,2010-09-16T06:09:57,Tom,Bowser Jr.,1,Bowser Castle
11001,11001_67002_10,2010-09-16T06:31:12,Tom,Bowser Jr.,1,Waluigi Stadium
11001,11001_67002_14,2010-09-16T06:41:59,Nick,Paratroopa,1,DK Mountain
11001,11001_67002_6,2010-09-16T06:21:09,Tom,Bowser Jr.,1,Sherbet Land
11001,11001_67002_8,2010-09-16T06:25:24,Tom,Bowser Jr.,1,Baby Park
11001,11001_67002_3,2010-09-16T06:12:31,Tom,Bowser Jr.,1,Daisy Cruiser
11001,11001_67002_15,2010-09-16T06:45:19,Tom,Bowser Jr.,1,Wario Colosseum
11001,11001_67002_11,2010-09-16T06:34:08,Tom,Bowser Jr.,1,Dino Dino Jungle
11001,11001_67002_12,2010-09-16T06:36:11,Tom,Bowser Jr.,1,Mushroom Bridge
11001,11001_67002_7,2010-09-16T06:23:14,Tom,Bowser Jr.,1,Peach Beach
11001,11001_67002_13,2010-09-16T06:38:43,Nick,Paratroopa,1,Mario Circuit
11001,11001_67002_1,2010-09-16T06:05:55,Tom,Bowser Jr.,1,Luigi Circuit
11001,11001_67002_4,2010-09-16T06:15:43,Tom,Bowser Jr.,1,Yoshi Circuit
11001,11001_67002_5,2010-09-16T06:18:56,Tom,Bowser Jr.,1,Mushroom City
11001,11001_67002_9,2010-09-16T06:28:10,Tom,Bowser Jr.,1,Dry Dry Desert
11001,11001_69001_11,2010-09-16T03:52:55,Nick,Paratroopa,1,DK Mountain
11001,11001_69001_1,2010-09-16T03:19:39,Nick,Paratroopa,1,Luigi Circuit
11001,11001_69001_2,2010-09-16T03:23:56,Tom,Bowser Jr.,1,Daisy Cruiser
11001,11001_69001_3,2010-09-16T03:30:47,Tom,Bowser Jr.,1,Wario Colosseum
11001,11001_69001_16,2010-09-16T04:10:07,Nick,Paratroopa,1,Rainbow Road
11001,11001_69001_4,2010-09-16T03:31:04,Tom,Bowser Jr.,1,Mushroom Bridge
11001,11001_69001_12,2010-09-16T03:56:30,Tom,Bowser Jr.,1,Mushroom City
11001,11001_69001_5,2010-09-16T03:34:12,Tom,Bowser Jr.,1,Waluigi Stadium
11001,11001_69001_6,2010-09-16T03:37:59,Nick,Paratroopa,1,Bowser Castle
11001,11001_69001_7,2010-09-16T03:40:56,Tom,Bowser Jr.,1,Peach Beach
11001,11001_69001_8,2010-09-16T03:43:16,Tom,Bowser Jr.,1,Baby Park
11001,11001_69001_9,2010-09-16T03:46:46,Nick,Paratroopa,1,Yoshi Circuit
11001,11001_69001_10,2010-09-16T03:49:35,Nick,Paratroopa,1,Dry Dry Desert
11001,11001_69001_13,2010-09-16T03:59:18,Tom,Bowser Jr.,1,Mario Circuit
11001,11001_69001_15,2010-09-16T04:04:45,Nick,Paratroopa,1,Dino Dino Jungle
11001,11001_94005_8,2010-09-24T03:44:17,Tom,Diddy Kong,1,Bowser Castle
11001,11001_94005_1,2010-09-24T03:22:58,Nick,Paratroopa,1,Luigi Circuit
11001,11001_94005_4,2010-09-24T03:31:11,Tom,Diddy Kong,1,Yoshi Circuit
11001,11001_94005_12,2010-09-24T03:56:56,Tom,Diddy Kong,1,Daisy Cruiser
11001,11001_94005_13,2010-09-24T03:59:11,Nick,Paratroopa,1,Peach Beach
11001,11001_94005_15,2010-09-24T04:05:01,Nick,Paratroopa,1,Dino Dino Jungle
11001,11001_94005_10,2010-09-24T03:49:26,Tom,Diddy Kong,1,Sherbet Land
11001,11001_94005_6,2010-09-24T03:37:12,Nick,Paratroopa,1,Wario Colosseum
11001,11001_94005_16,2010-09-24T04:09:52,Nick,Paratroopa,1,Rainbow Road
11001,11001_94005_2,2010-09-24T03:25:27,Nick,Paratroopa,1,Mushroom Bridge
11001,11001_94005_3,2010-09-24T03:28:08,Tom,Diddy Kong,1,Mushroom City
11001,11001_94005_5,2010-09-24T03:33:42,Tom,Diddy Kong,1,Mario Circuit
11001,11001_94005_9,2010-09-24T03:46:55,Nick,Paratroopa,1,Dry Dry Desert
11001,11001_94005_7,2010-09-24T03:40:26,Tom,Diddy Kong,1,Waluigi Stadium
11001,11001_94005_11,2010-09-24T03:54:23,Tom,Diddy Kong,1,DK Mountain
11001,11001_103001_13,2010-09-16T04:57:33,Nick,Paratroopa,1,Dino Dino Jungle
11001,11001_103001_5,2010-09-16T04:30:31,Tom,Waluigi,1,Baby Park
11001,11001_103001_3,2010-09-16T04:22:28,Nick,Paratroopa,1,Waluigi Stadium
11001,11001_103001_2,2010-09-16T04:18:36,Nick,Paratroopa,1,Mushroom Bridge
11001,11001_103001_1,2010-09-16T04:15:53,Tom,Waluigi,1,Luigi Circuit
11001,11001_103001_7,2010-09-16T04:37:22,Tom,Waluigi,1,Mario Circuit
