id,league_id,course,player,finishPos,d1,d2
11001_4001_14,11001,DK Mountain,Tom,1,Diddy Kong,Koopa
11001_4001_9,11001,Mario Circuit,Tom,1,Diddy Kong,Koopa
11001_4001_10,11001,Daisy Cruiser,Tom,1,Diddy Kong,Koopa
11001_4001_15,11001,Mushroom Bridge,Tom,1,Diddy Kong,Koopa
11001_4001_1,11001,Luigi Circuit,Tom,1,Diddy Kong,Koopa
11001_4001_16,11001,Rainbow Road,Tom,1,Diddy Kong,Koopa
11001_4001_3,11001,Mushroom City,Tom,1,Diddy Kong,Koopa
11001_4001_4,11001,Yoshi Circuit,Tom,1,Diddy Kong,Koopa
11001_4001_6,11001,Wario Colosseum,Tom,1,Diddy Kong,Koopa
11001_4001_7,11001,Sherbet Land,Tom,1,Diddy Kong,Koopa
11001_4001_12,11001,Waluigi Stadium,Tom,1,Diddy Kong,Koopa
11001_4001_11,11001,Dino Dino Jungle,Tom,1,Diddy Kong,Koopa
11001_67002_2,11001,Bowser Castle,Tom,1,Bowser Jr.,Diddy Kong
11001_67002_10,11001,Waluigi Stadium,Tom,1,Bowser Jr.,Diddy Kong
11001_67002_6,11001,Sherbet Land,Tom,1,Bowser Jr.,Diddy Kong
11001_67002_8,11001,Baby Park,Tom,1,Bowser Jr.,Diddy Kong
11001_67002_3,11001,Daisy Cruiser,Tom,1,Bowser Jr.,Diddy Kong
11001_67002_15,11001,Wario Colosseum,Tom,1,Bowser Jr.,Diddy Kong
11001_67002_11,11001,Dino Dino Jungle,Tom,1,Bowser Jr.,Diddy Kong
11001_67002_12,11001,Mushroom Bridge,Tom,1,Bowser Jr.,Diddy Kong
11001_67002_7,11001,Peach Beach,Tom,1,Bowser Jr.,Diddy Kong
11001_67002_1,11001,Luigi Circuit,Tom,1,Bowser Jr.,Diddy Kong
11001_67002_4,11001,Yoshi Circuit,Tom,1,Bowser Jr.,Diddy Kong
11001_67002_5,11001,Mushroom City,Tom,1,Bowser Jr.,Diddy Kong
11001_67002_9,11001,Dry Dry Desert,Tom,1,Bowser Jr.,Diddy Kong
11001_69001_2,11001,Daisy Cruiser,Tom,1,Bowser Jr.,Koopa
11001_69001_3,11001,Wario Colosseum,Tom,1,Bowser Jr.,Koopa
11001_69001_4,11001,Mushroom Bridge,Tom,1,Bowser Jr.,Koopa
11001_69001_12,11001,Mushroom City,Tom,1,Bowser Jr.,Koopa
11001_69001_5,11001,Waluigi Stadium,Tom,1,Bowser Jr.,Koopa
11001_69001_7,11001,Peach Beach,Tom,1,Bowser Jr.,Koopa
11001_69001_8,11001,Baby Park,Tom,1,Bowser Jr.,Koopa
11001_69001_13,11001,Mario Circuit,Tom,1,Bowser Jr.,Koopa
11001_94005_8,11001,Bowser Castle,Tom,1,Diddy Kong,Waluigi
11001_94005_4,11001,Yoshi Circuit,Tom,1,Diddy Kong,Waluigi
11001_94005_12,11001,Daisy Cruiser,Tom,1,Diddy Kong,Waluigi
11001_94005_10,11001,Sherbet Land,Tom,1,Diddy Kong,Waluigi
11001_94005_3,11001,Mushroom City,Tom,1,Diddy Kong,Waluigi
11001_94005_5,11001,Mario Circuit,Tom,1,Diddy Kong,Waluigi
11001_94005_7,11001,Waluigi Stadium,Tom,1,Diddy Kong,Waluigi
11001_94005_11,11001,DK Mountain,Tom,1,Diddy Kong,Waluigi
11001_161001_1,11001,Luigi Circuit,Nick,1,Koopa,Paratroopa
11001_161001_9,11001,Dry Dry Desert,Nick,1,Koopa,Paratroopa
11001_161001_3,11001,DK Mountain,Nick,1,Koopa,Paratroopa
11001_161001_4,11001,Dino Dino Jungle,Nick,1,Koopa,Paratroopa
11001_161001_6,11001,Peach Beach,Nick,1,Koopa,Paratroopa
11001_161001_10,11001,Baby Park,Nick,1,Koopa,Paratroopa
11001_161001_12,11001,Daisy Cruiser,Nick,1,Koopa,Paratroopa
11001_161001_13,11001,Bowser Castle,Nick,1,Koopa,Paratroopa
11001_161001_14,11001,Waluigi Stadium,Nick,1,Koopa,Paratroopa
11001_161001_15,11001,Yoshi Circuit,Nick,1,Koopa,Paratroopa
11001_169003_1,11001,Luigi Circuit,Tom,1,Koopa,Toad
11001_169003_2,11001,Mushroom City,Tom,1,Koopa,Toad
11001_169003_4,11001,Mario Circuit,Tom,1,Koopa,Toad
11001_169003_6,11001,Peach Beach,Tom,1,Koopa,Toad
11001_169003_7,11001,Sherbet Land,Tom,1,Koopa,Toad
11001_169003_13,11001,Waluigi Stadium,Tom,1,Koopa,Toad
11001_169003_5,11001,Baby Park,Tom,1,Koopa,Toad
11001_169003_9,11001,Wario Colosseum,Tom,1,Koopa,Toad
11001_169003_10,11001,Mushroom Bridge,Tom,1,Koopa,Toad
11001_194002_3,11001,Wario Colosseum,Nick,1,Koopa,Paratroopa
11001_194002_14,11001,Sherbet Land,Nick,1,Koopa,Paratroopa
11001_194002_16,11001,Rainbow Road,Nick,1,Koopa,Paratroopa
