match_id,seq,league_id,notes,submitDate,season_id,course,cluster_id
1002,14,11001,,2010-09-09T09:52:46,1,DK Mountain,4001
2002,2,11001,,2010-09-09T09:47:11,1,Baby Park,4001
6002,9,11001,,2010-09-09T09:50:39,1,Mario Circuit,4001
6003,10,11001,,2010-09-09T09:51:14,1,Daisy Cruiser,4001
6004,15,11001,,2010-09-09T09:53:32,1,Mushroom Bridge,4001
8001,1,11001,,2010-09-09T09:45:09,1,Luigi Circuit,4001
8003,13,11001,,2010-09-09T09:52:29,1,Peach Beach,4001
12003,16,11001,,2010-09-09T09:53:48,1,Rainbow Road,4001
13001,3,11001,,2010-09-09T09:47:38,1,Mushroom City,4001
14002,8,11001,,2010-09-09T09:50:04,1,Bowser Castle,4001
16001,4,11001,,2010-09-09T09:48:14,1,Yoshi Circuit,4001
17001,5,11001,,2010-09-09T09:48:48,1,Dry Dry Desert,4001
20001,6,11001,,2010-09-09T09:49:15,1,Wario Colosseum,4001
21001,7,11001,,2010-09-09T09:49:35,1,Sherbet Land,4001
25002,12,11001,,2010-09-09T09:52:06,1,Waluigi Stadium,4001
27001,11,11001,,2010-09-09T09:51:42,1,Dino Dino Jungle,4001
2003,6,11001,,2010-09-09T09:58:16,1,Wario Colosseum,37001
2004,7,11001,,2010-09-09T09:58:31,1,Dino Dino Jungle,37001
8004,1,11001,,2010-09-09T09:56:18,1,Luigi Circuit,37001
23002,16,11001,,2010-09-09T10:03:22,1,Rainbow Road,37001
38001,2,11001,,2010-09-09T09:56:47,1,Bowser Castle,37001
39001,3,11001,,2010-09-09T09:57:19,1,Mushroom City,37001
39002,9,11001,,2010-09-09T09:59:17,1,Daisy Cruiser,37001
41002,5,11001,,2010-09-09T09:57:56,1,Waluigi Stadium,37001
42001,4,11001,,2010-09-09T09:57:40,1,Sherbet Land,37001
42002,14,11001,,2010-09-09T10:02:42,1,Peach Beach,37001
43002,13,11001,,2010-09-09T10:00:33,1,Baby Park,37001
44002,12,11001,,2010-09-09T10:00:16,1,Mario Circuit,37001
45001,8,11001,,2010-09-09T09:58:59,1,Dry Dry Desert,37001
46001,10,11001,,2010-09-09T09:59:34,1,Yoshi Circuit,37001
48001,11,11001,,2010-09-09T09:59:54,1,DK Mountain,37001
50002,15,11001,,2010-09-09T10:03:04,1,Mushroom Bridge,37001
3002,8,11001,,2010-09-09T10:41:22,1,Mario Circuit,54001
10004,14,11001,,2010-09-09T10:44:24,1,Baby Park,54001
11005,9,11001,,2010-09-09T10:42:03,1,DK Mountain,54001
15003,2,11001,,2010-09-09T10:05:59,1,Daisy Cruiser,54001
22003,3,11001,,2010-09-09T10:06:22,1,Sherbet Land,54001
24003,5,11001,,2010-09-09T10:40:08,1,Mushroom Bridge,54001
27002,11,11001,,2010-09-09T10:43:17,1,Peach Beach,54001
