match_id,kart,league_id,driver1,driver2,finishPos,season_id,perf_id,player_id,cluster_id
1002,Toadette Kart,11001,Paratroopa,Baby Mario,2,1,31001,2001,4001
1002,Toad Kart,11001,Diddy Kong,Koopa,1,1,32001,3001,4001
2002,Toadette Kart,11001,Paratroopa,Baby Mario,2,1,11001,2001,4001
2002,Toad Kart,11001,Diddy Kong,Koopa,3,1,12001,3001,4001
6002,Toadette Kart,11001,Paratroopa,Baby Mario,2,1,7002,2001,4001
6002,Toad Kart,11001,Diddy Kong,Koopa,1,1,25001,3001,4001
6003,Toadette Kart,11001,Paratroopa,Baby Mario,2,1,7003,2001,4001
6003,Toad Kart,11001,Diddy Kong,Koopa,1,1,26001,3001,4001
6004,Toadette Kart,11001,Paratroopa,Baby Mario,2,1,33001,2001,4001
6004,Toad Kart,11001,Diddy Kong,Koopa,1,1,34001,3001,4001
8001,Toadette Kart,11001,Paratroopa,Baby Mario,2,1,9001,2001,4001
8001,Toad Kart,11001,Diddy Kong,Koopa,1,1,10001,3001,4001
8003,Toadette Kart,11001,Paratroopa,Baby Mario,1,1,9002,2001,4001
8003,Toad Kart,11001,Diddy Kong,Koopa,3,1,10002,3001,4001
12003,Toadette Kart,11001,Paratroopa,Baby Mario,4,1,35001,2001,4001
12003,Toad Kart,11001,Diddy Kong,Koopa,1,1,36001,3001,4001
13001,Toadette Kart,11001,Paratroopa,Baby Mario,2,1,14001,2001,4001
13001,Toad Kart,11001,Diddy Kong,Koopa,1,1,15001,3001,4001
14002,Toadette Kart,11001,Paratroopa,Baby Mario,3,1,15002,2001,4001
14002,Toad Kart,11001,Diddy Kong,Koopa,2,1,24001,3001,4001
16001,Toadette Kart,11001,Paratroopa,Baby Mario,2,1,11002,2001,4001
16001,Toad Kart,11001,Diddy Kong,Koopa,1,1,12002,3001,4001
17001,Toadette Kart,11001,Paratroopa,Baby Mario,1,1,18001,2001,4001
17001,Toad Kart,11001,Diddy Kong,Koopa,2,1,19001,3001,4001
20001,Toadette Kart,11001,Paratroopa,Baby Mario,2,1,2,2001,4001
20001,Toad Kart,11001,Diddy Kong,Koopa,1,1,8002,3001,4001
21001,Toadette Kart,11001,Paratroopa,Baby Mario,3,1,22001,2001,4001
21001,Toad Kart,11001,Diddy Kong,Koopa,1,1,23001,3001,4001
25002,Toadette Kart,11001,Paratroopa,Baby Mario,2,1,26002,2001,4001
25002,Toad Kart,11001,Diddy Kong,Koopa,1,1,30001,3001,4001
27001,Toadette Kart,11001,Paratroopa,Baby Mario,5,1,28001,2001,4001
27001,Toad Kart,11001,Diddy Kong,Koopa,1,1,29001,3001,4001
