d1,d2,ct,Jeran,JD,Nick,Dan,Tom,Guest
Bowser Jr.,Koopa,166,0,75,25,15,51,0
Diddy Kong,Toadette,145,81,0,0,44,20,0
Diddy Kong,Paratroopa,130,5,0,30,65,30,0
Diddy Kong,Koopa,124,50,20,15,19,20,0
Bowser Jr.,Paratroopa,95,0,15,55,10,15,0
Baby Mario,Toadette,90,60,0,0,10,15,5
Baby Luigi,Toad,85,10,30,10,15,20,0
Toad,Waluigi,80,0,5,0,51,24,0
Bowser Jr.,Toadette,76,10,18,0,13,35,0
Koopa,Toad,75,10,0,20,5,40,0
Bowser Jr.,Toad,65,0,40,0,5,20,0
Baby Mario,Paratroopa,58,0,0,58,0,0,0
Paratroopa,Toadette,56,15,0,5,0,36,0
Baby Mario,Toad,55,30,10,0,0,15,0
Baby Luigi,Toadette,50,20,0,0,20,5,5
Diddy Kong,Waluigi,46,0,0,0,46,0,0
Paratroopa,Waluigi,45,0,10,15,20,0,0
Toadette,Waluigi,45,0,0,0,40,5,0
Diddy Kong,Toad,42,30,0,0,9,3,0
Baby Luigi,Paratroopa,40,0,0,25,0,10,5
Baby Luigi,Koopa,36,0,0,16,0,20,0
Bowser Jr.,Yoshi,30,0,30,0,0,0,0
Koopa,Toadette,30,20,0,0,0,10,0
Paratroopa,Toad,30,0,0,10,10,10,0
Paratroopa,Yoshi,26,0,10,10,0,0,6
Koopa,Peach,25,0,25,0,0,0,0
Koopa,Paratroopa,22,0,8,14,0,0,0
Bowser Jr.,Peach,20,0,20,0,0,0,0
Bowser Jr.,Waluigi,20,0,10,0,10,0,0
Luigi,Waluigi,20,0,10,0,10,0,0
Peach,Toad,20,0,20,0,0,0,0
Toad,Yoshi,20,0,20,0,0,0,0
Koopa,Waluigi,14,0,10,0,0,4,0
Baby Luigi,Wario,12,0,0,8,0,0,4
Baby Luigi,Baby Mario,10,0,0,0,0,0,10
Baby Luigi,Bowser Jr.,10,0,10,0,0,0,0
Baby Mario,Bowser Jr.,10,0,0,10,0,0,0
Baby Mario,Koopa,10,0,0,0,0,10,0
Bowser Jr.,Diddy Kong,10,0,0,0,0,10,0
Daisy,Toad,10,0,10,0,0,0,0
Daisy,Waluigi,10,0,10,0,0,0,0
Mario,Toad,10,10,0,0,0,0,0
Mario,Waluigi,10,0,0,0,10,0,0
Peach,Waluigi,10,0,10,0,0,0,0
Toad,Toadette,10,10,0,0,0,0,0
Baby Mario,Diddy Kong,5,0,0,0,0,0,5
