driver,ct,f1,f2,f3,f4,pts,ppr
Toadette,500,190,127,101,82,1425,2.85
Diddy Kong,500,168,137,103,92,1381,2.762
Luigi,20,6,6,5,3,55,2.75
Toad,500,140,126,118,116,1290,2.58
Baby Mario,238,57,65,56,60,595,2.5
Mario,20,5,4,7,4,50,2.5
Koopa,500,124,123,127,126,1245,2.49
Waluigi,300,60,80,72,88,712,2.3733
Baby Luigi,241,51,56,63,71,569,2.361
Bowser Jr.,500,92,126,148,134,1176,2.352
Paratroopa,500,92,122,156,130,1176,2.352
Yoshi,76,8,12,23,33,147,1.9342
Daisy,20,1,5,5,9,38,1.9
Peach,75,6,10,13,46,126,1.68
Wario,10,0,1,3,6,15,1.5
